run_id,model_id,model_variant,setting,few_step_prior,task,modality,protocol,backend,case_id,category,prompt,prompt_hash,method,method_family,sampler_mode,actual_nfe,num_inference_steps,base_sample_steps,split_pairs,scheduler_name,flow_shift,guidance_scale,pag_guidance_scale,seed,height,width,reference_method,reference_nfe,low_baseline_method,output_path,schedule_json_path,stdout_log_path,stderr_log_path,runtime_json_path,status,error_message,git_commit,dirty_status
sana06b_bss_bds_v1_mini_p02_animal_uniform8,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p02_animal,animal,"A golden retriever wearing a blue raincoat, sitting beside a puddle after rain.",4f1aacf16005,uniform8,uniform,uniform,8,8,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p02_animal_uniform8.png,schedules/mini/p02_animal_uniform8.json,logs/mini/p02_animal_uniform8.stdout.log,logs/mini/p02_animal_uniform8.stderr.log,runtimes/mini/p02_animal_uniform8.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p02_animal_uniform10,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p02_animal,animal,"A golden retriever wearing a blue raincoat, sitting beside a puddle after rain.",4f1aacf16005,uniform10,uniform,uniform,10,10,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p02_animal_uniform10.png,schedules/mini/p02_animal_uniform10.json,logs/mini/p02_animal_uniform10.stdout.log,logs/mini/p02_animal_uniform10.stderr.log,runtimes/mini/p02_animal_uniform10.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p02_animal_uniform20,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p02_animal,animal,"A golden retriever wearing a blue raincoat, sitting beside a puddle after rain.",4f1aacf16005,uniform20,uniform,uniform,20,20,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p02_animal_uniform20.png,schedules/mini/p02_animal_uniform20.json,logs/mini/p02_animal_uniform20.stdout.log,logs/mini/p02_animal_uniform20.stderr.log,runtimes/mini/p02_animal_uniform20.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p02_animal_uniform30,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p02_animal,animal,"A golden retriever wearing a blue raincoat, sitting beside a puddle after rain.",4f1aacf16005,uniform30,uniform,uniform,30,30,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p02_animal_uniform30.png,schedules/mini/p02_animal_uniform30.json,logs/mini/p02_animal_uniform30.stdout.log,logs/mini/p02_animal_uniform30.stderr.log,runtimes/mini/p02_animal_uniform30.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p02_animal_uniform40,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p02_animal,animal,"A golden retriever wearing a blue raincoat, sitting beside a puddle after rain.",4f1aacf16005,uniform40,uniform,uniform,40,40,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p02_animal_uniform40.png,schedules/mini/p02_animal_uniform40.json,logs/mini/p02_animal_uniform40.stdout.log,logs/mini/p02_animal_uniform40.stderr.log,runtimes/mini/p02_animal_uniform40.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p02_animal_reference_uniform50,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p02_animal,animal,"A golden retriever wearing a blue raincoat, sitting beside a puddle after rain.",4f1aacf16005,reference_uniform50,reference,uniform,50,50,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p02_animal_reference_uniform50.png,schedules/mini/p02_animal_reference_uniform50.json,logs/mini/p02_animal_reference_uniform50.stdout.log,logs/mini/p02_animal_reference_uniform50.stderr.log,runtimes/mini/p02_animal_reference_uniform50.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p02_animal_bss10,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p02_animal,animal,"A golden retriever wearing a blue raincoat, sitting beside a puddle after rain.",4f1aacf16005,bss10,bss,bss,10,10,8,"0,-1",flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p02_animal_bss10.png,schedules/mini/p02_animal_bss10.json,logs/mini/p02_animal_bss10.stdout.log,logs/mini/p02_animal_bss10.stderr.log,runtimes/mini/p02_animal_bss10.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p02_animal_bss20,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p02_animal,animal,"A golden retriever wearing a blue raincoat, sitting beside a puddle after rain.",4f1aacf16005,bss20,bss,bss,20,20,18,"0,-1",flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p02_animal_bss20.png,schedules/mini/p02_animal_bss20.json,logs/mini/p02_animal_bss20.stdout.log,logs/mini/p02_animal_bss20.stderr.log,runtimes/mini/p02_animal_bss20.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p02_animal_bss30,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p02_animal,animal,"A golden retriever wearing a blue raincoat, sitting beside a puddle after rain.",4f1aacf16005,bss30,bss,bss,30,30,28,"0,-1",flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p02_animal_bss30.png,schedules/mini/p02_animal_bss30.json,logs/mini/p02_animal_bss30.stdout.log,logs/mini/p02_animal_bss30.stderr.log,runtimes/mini/p02_animal_bss30.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p02_animal_bss40,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p02_animal,animal,"A golden retriever wearing a blue raincoat, sitting beside a puddle after rain.",4f1aacf16005,bss40,bss,bss,40,40,38,"0,-1",flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p02_animal_bss40.png,schedules/mini/p02_animal_bss40.json,logs/mini/p02_animal_bss40.stdout.log,logs/mini/p02_animal_bss40.stderr.log,runtimes/mini/p02_animal_bss40.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p03_human_action_uniform8,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p03_human_action,human action,A chef tossing vegetables in a wok inside a busy open kitchen.,b900f822ade5,uniform8,uniform,uniform,8,8,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p03_human_action_uniform8.png,schedules/mini/p03_human_action_uniform8.json,logs/mini/p03_human_action_uniform8.stdout.log,logs/mini/p03_human_action_uniform8.stderr.log,runtimes/mini/p03_human_action_uniform8.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p03_human_action_uniform10,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p03_human_action,human action,A chef tossing vegetables in a wok inside a busy open kitchen.,b900f822ade5,uniform10,uniform,uniform,10,10,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p03_human_action_uniform10.png,schedules/mini/p03_human_action_uniform10.json,logs/mini/p03_human_action_uniform10.stdout.log,logs/mini/p03_human_action_uniform10.stderr.log,runtimes/mini/p03_human_action_uniform10.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p03_human_action_uniform20,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p03_human_action,human action,A chef tossing vegetables in a wok inside a busy open kitchen.,b900f822ade5,uniform20,uniform,uniform,20,20,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p03_human_action_uniform20.png,schedules/mini/p03_human_action_uniform20.json,logs/mini/p03_human_action_uniform20.stdout.log,logs/mini/p03_human_action_uniform20.stderr.log,runtimes/mini/p03_human_action_uniform20.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p03_human_action_uniform30,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p03_human_action,human action,A chef tossing vegetables in a wok inside a busy open kitchen.,b900f822ade5,uniform30,uniform,uniform,30,30,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p03_human_action_uniform30.png,schedules/mini/p03_human_action_uniform30.json,logs/mini/p03_human_action_uniform30.stdout.log,logs/mini/p03_human_action_uniform30.stderr.log,runtimes/mini/p03_human_action_uniform30.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p03_human_action_uniform40,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p03_human_action,human action,A chef tossing vegetables in a wok inside a busy open kitchen.,b900f822ade5,uniform40,uniform,uniform,40,40,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p03_human_action_uniform40.png,schedules/mini/p03_human_action_uniform40.json,logs/mini/p03_human_action_uniform40.stdout.log,logs/mini/p03_human_action_uniform40.stderr.log,runtimes/mini/p03_human_action_uniform40.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p03_human_action_reference_uniform50,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p03_human_action,human action,A chef tossing vegetables in a wok inside a busy open kitchen.,b900f822ade5,reference_uniform50,reference,uniform,50,50,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p03_human_action_reference_uniform50.png,schedules/mini/p03_human_action_reference_uniform50.json,logs/mini/p03_human_action_reference_uniform50.stdout.log,logs/mini/p03_human_action_reference_uniform50.stderr.log,runtimes/mini/p03_human_action_reference_uniform50.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p03_human_action_bss10,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p03_human_action,human action,A chef tossing vegetables in a wok inside a busy open kitchen.,b900f822ade5,bss10,bss,bss,10,10,8,"0,-1",flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p03_human_action_bss10.png,schedules/mini/p03_human_action_bss10.json,logs/mini/p03_human_action_bss10.stdout.log,logs/mini/p03_human_action_bss10.stderr.log,runtimes/mini/p03_human_action_bss10.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p03_human_action_bss20,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p03_human_action,human action,A chef tossing vegetables in a wok inside a busy open kitchen.,b900f822ade5,bss20,bss,bss,20,20,18,"0,-1",flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p03_human_action_bss20.png,schedules/mini/p03_human_action_bss20.json,logs/mini/p03_human_action_bss20.stdout.log,logs/mini/p03_human_action_bss20.stderr.log,runtimes/mini/p03_human_action_bss20.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p03_human_action_bss30,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p03_human_action,human action,A chef tossing vegetables in a wok inside a busy open kitchen.,b900f822ade5,bss30,bss,bss,30,30,28,"0,-1",flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p03_human_action_bss30.png,schedules/mini/p03_human_action_bss30.json,logs/mini/p03_human_action_bss30.stdout.log,logs/mini/p03_human_action_bss30.stderr.log,runtimes/mini/p03_human_action_bss30.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p03_human_action_bss40,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p03_human_action,human action,A chef tossing vegetables in a wok inside a busy open kitchen.,b900f822ade5,bss40,bss,bss,40,40,38,"0,-1",flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p03_human_action_bss40.png,schedules/mini/p03_human_action_bss40.json,logs/mini/p03_human_action_bss40.stdout.log,logs/mini/p03_human_action_bss40.stderr.log,runtimes/mini/p03_human_action_bss40.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p04_indoor_scene_uniform8,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p04_indoor_scene,indoor scene,"A quiet reading room with oak shelves, a green lamp, and a leather chair.",0297ee22170f,uniform8,uniform,uniform,8,8,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p04_indoor_scene_uniform8.png,schedules/mini/p04_indoor_scene_uniform8.json,logs/mini/p04_indoor_scene_uniform8.stdout.log,logs/mini/p04_indoor_scene_uniform8.stderr.log,runtimes/mini/p04_indoor_scene_uniform8.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p04_indoor_scene_uniform10,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p04_indoor_scene,indoor scene,"A quiet reading room with oak shelves, a green lamp, and a leather chair.",0297ee22170f,uniform10,uniform,uniform,10,10,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p04_indoor_scene_uniform10.png,schedules/mini/p04_indoor_scene_uniform10.json,logs/mini/p04_indoor_scene_uniform10.stdout.log,logs/mini/p04_indoor_scene_uniform10.stderr.log,runtimes/mini/p04_indoor_scene_uniform10.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p04_indoor_scene_uniform20,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p04_indoor_scene,indoor scene,"A quiet reading room with oak shelves, a green lamp, and a leather chair.",0297ee22170f,uniform20,uniform,uniform,20,20,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p04_indoor_scene_uniform20.png,schedules/mini/p04_indoor_scene_uniform20.json,logs/mini/p04_indoor_scene_uniform20.stdout.log,logs/mini/p04_indoor_scene_uniform20.stderr.log,runtimes/mini/p04_indoor_scene_uniform20.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p04_indoor_scene_uniform30,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p04_indoor_scene,indoor scene,"A quiet reading room with oak shelves, a green lamp, and a leather chair.",0297ee22170f,uniform30,uniform,uniform,30,30,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p04_indoor_scene_uniform30.png,schedules/mini/p04_indoor_scene_uniform30.json,logs/mini/p04_indoor_scene_uniform30.stdout.log,logs/mini/p04_indoor_scene_uniform30.stderr.log,runtimes/mini/p04_indoor_scene_uniform30.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p04_indoor_scene_uniform40,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p04_indoor_scene,indoor scene,"A quiet reading room with oak shelves, a green lamp, and a leather chair.",0297ee22170f,uniform40,uniform,uniform,40,40,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p04_indoor_scene_uniform40.png,schedules/mini/p04_indoor_scene_uniform40.json,logs/mini/p04_indoor_scene_uniform40.stdout.log,logs/mini/p04_indoor_scene_uniform40.stderr.log,runtimes/mini/p04_indoor_scene_uniform40.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_mini_p04_indoor_scene_reference_uniform50,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,p04_indoor_scene,indoor scene,"A quiet reading room with oak shelves, a green lamp, and a leather chair.",0297ee22170f,reference_uniform50,reference,uniform,50,50,,,flow_dpm-solver,4.0,5.0,2.0,0,1024,1024,reference_uniform50,50,uniform8,images/mini/p04_indoor_scene_reference_uniform50.png,schedules/mini/p04_indoor_scene_reference_uniform50.json,logs/mini/p04_indoor_scene_reference_uniform50.stdout.log,logs/mini/p04_indoor_scene_reference_uniform50.stderr.log,runtimes/mini/p04_indoor_scene_reference_uniform50.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
